product_name,product_link,shop_name,shop_link,price,est_mo_sales,est_mo_revenue,est_total_sales,reviews,listing_age,favorites,avg_reviews,views,category,description_character_count,shop_age,visibility_score,conversion_rate,total_shop_sales,tags,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,image_path
Personalized  Name Baby Sweater/Custom Hand embroidered Baby Knit Sweater/ Baby Girls Sweater With Name/ Gift for Newborn,https://www.etsy.com/listing/1757318712/personalized-name-baby-sweatercustom,LuminousLoveStore,https://www.etsy.com/shop/LuminousLoveStore,86,425,36550,425,22,1 Mo.,382,22,19279,Clothing,,2,100,2.2,425,"Baby Sweater,baby sweater name,baby name sweater,Gifts for Daughters,Baby Girl Sweater,Baby Gift,baby knit sweater,Toddler Sweater,sweater with name,embroidered sweater,Infant Sweater,Knitted Sweater,Custom Baby Sweater",Baby Sweater,baby sweater name,baby name sweater,Gifts for Daughters,Baby Girl Sweater,Baby Gift,baby knit sweater,Toddler Sweater,sweater with name,embroidered sweater,Infant Sweater,Knitted Sweater,Custom Baby Sweater,../data/images/Personalized__Name_Baby_Sweater_Custom_Hand_embroi.png
"Engraved Pocket Knife for Boyfriend, Personalized Knife for Husband, Hunting Knife, Custom Knife, Boyfriend Gift, Husband Gift, Pocket Knife",https://www.etsy.com/listing/763968412/engraved-pocket-knife-for-boyfriend,YourWeddingPlace,https://www.etsy.com/shop/YourWeddingPlace,30,1219,36533,67248,12742,55 Mo.,38134,231,1221175,Weddings,,59,100,5.51,645792,"engraved pocket,pocket knife,knife for boyfriend,boyfriend gift,husband gift,personalized knife,knife for husband,knife,groomsmen gift,personalized pocket,engraved knife,hunting knife,custom knife",engraved pocket,pocket knife,knife for boyfriend,boyfriend gift,husband gift,personalized knife,knife for husband,knife,groomsmen gift,personalized pocket,engraved knife,hunting knife,custom knife,../data/images/Engraved_Pocket_Knife_for_Boyfriend__Personalized_.png
"Personalized Name Blanket for Your Daughter, Customized Name Baby Blankets for Girls, Baby Name Blanket. Great Gift for Birthday, Christmas",https://www.etsy.com/listing/1545070328/personalized-name-blanket-for-your,TheLYShop,https://www.etsy.com/shop/TheLYShop,22,1660,36520,19935,4310,12 Mo.,12688,359,642160,Home & Living,,29,100,3.1,38626,"name blanket,personalized blanket,new baby girl,newborn baby gift,custom blanket,Christmas gift kids,new baby boy,Customized Blanket,baby blanket,girl blanket",name blanket,personalized blanket,new baby girl,newborn baby gift,custom blanket,Christmas gift kids,new baby boy,Customized Blanket,baby blanket,girl blanket,--,--,--,../data/images/Personalized_Name_Blanket_for_Your_Daughter__Custo.png
"WLO® Walnut Gabled Modern Dog Crate, Premium Wooden Dog Crate with Free Customization, Multiple Colors & Gift Cushion Covers",https://www.etsy.com/listing/852945340/wlo-walnut-gabled-modern-dog-crate,WLOStoreUSA,https://www.etsy.com/shop/WLOStoreUSA,285,128,36480,6340,1533,48 Mo.,46495,31,1764025,Pet Supplies,,56,100,0.36,27633,"dog bed,cat bed,dog house,pet bed,pet house,dog furniture,pet furniture,cat furniture,wood dog bed,wood dog house,Dog Kennel,Dog Crate,Dog Crate Furniture",dog bed,cat bed,dog house,pet bed,pet house,dog furniture,pet furniture,cat furniture,wood dog bed,wood dog house,Dog Kennel,Dog Crate,Dog Crate Furniture,../data/images/WLO__Walnut_Gabled_Modern_Dog_Crate__Premium_Woode.png
Whiskey Oak Barrel Bar Oak Barrel Drinks Cabinet Handmade from Whisky Oak Barrels Upcycled,https://www.etsy.com/listing/1307923267/whiskey-oak-barrel-bar-oak-barrel-drinks,SincerelyByNicole,https://www.etsy.com/shop/SincerelyByNicole,510,73,36435,1918,105,24 Mo.,1229,4,141096,Home & Living,,106,100,1.37,64729,"Whisky barrel Bar,Whiskey Barrel,Alcohol Cabinet,Drinks Cabinet,Vintage,Whisky Bar,Whisky,oak,wooden,gift,fass bar,fass,whiskey",Whisky barrel Bar,Whiskey Barrel,Alcohol Cabinet,Drinks Cabinet,Vintage,Whisky Bar,Whisky,oak,wooden,gift,fass bar,fass,whiskey,../data/images/Whiskey_Oak_Barrel_Bar_Oak_Barrel_Drinks_Cabinet_H.png
"Perfect Gift for Her • Minimalist Name Necklace by CaitlynMinimalist in Sterling Silver, Gold and Rose Gold • NH02F66",https://www.etsy.com/listing/742468036/perfect-gift-for-her-minimalist-name,CaitlynMinimalist,https://www.etsy.com/shop/CaitlynMinimalist,37,973,36001,56423,11658,58 Mo.,86838,201,2167491,Jewelry,,118,100,2.6,3116334,"GIFTS FOR HER,NAME NECKLACE,SILVER NAME NECKLACE,PERSONALIZED JEWELRY,MINIMALIST NECKLACE,GIFTS FOR MOM,DAINTY NAME JEWELRY,PERSONALIZED GIFT,CUSTOM NAME,PERSONALIZED GIFTS,CAITLYN MINIMALIST,NAMEPLATE NECKLACE,GIFT FOR MOM",GIFTS FOR HER,NAME NECKLACE,SILVER NAME NECKLACE,PERSONALIZED JEWELRY,MINIMALIST NECKLACE,GIFTS FOR MOM,DAINTY NAME JEWELRY,PERSONALIZED GIFT,CUSTOM NAME,PERSONALIZED GIFTS,CAITLYN MINIMALIST,NAMEPLATE NECKLACE,GIFT FOR MOM,../data/images/Perfect_Gift_for_Her___Minimalist_Name_Necklace_by.png
"Custom Team Name Sweatshirt, Mascot Sweatshirt, Puff Print, Embossed Print, Gift for Mom, Christmas Gift Idea, School Spirit Sweatshirt",https://www.etsy.com/listing/1688551244/custom-team-name-sweatshirt-mascot,DecoratedBliss,https://www.etsy.com/shop/DecoratedBliss,32,1126,35987,6761,1087,6 Mo.,14669,181,438296,Clothing,,119,100,1.54,245189,"custom school mascot,embossed shirt,embossed sweatshirt,embossed team name,football sweatshirt,mascot sweatshirt,mom football shirt,puff print embossed,puff sweatshirt,school mascot,school mascot shirt,school spirit shirt,team name football",custom school mascot,embossed shirt,embossed sweatshirt,embossed team name,football sweatshirt,mascot sweatshirt,mom football shirt,puff print embossed,puff sweatshirt,school mascot,school mascot shirt,school spirit shirt,team name football,../data/images/Custom_Team_Name_Sweatshirt__Mascot_Sweatshirt__Pu.png
"Custom Engraved Leather Men Belt - Personalized Gift for him - Unique Gift for Father&#39;s Day, Birthdays Gift, Anniversaries Gift, Christmas",https://www.etsy.com/listing/1140265274/custom-engraved-leather-men-belt,Specialeather,https://www.etsy.com/shop/Specialeather,59,605,35937,19378,5153,32 Mo.,22783,161,462054,Accessories,,36,100,4.2,39910,"personalized belt,men's belt handmade,Christmas gift,custom leather gift,Fathers day gift,personalized gift,custom leather belt,Anniversary gift,gift for dads,Gift for him,leather gift for him,Real leather belt,valentine gift",personalized belt,men's belt handmade,Christmas gift,custom leather gift,Fathers day gift,personalized gift,custom leather belt,Anniversary gift,gift for dads,Gift for him,leather gift for him,Real leather belt,valentine gift,../data/images/Custom_Engraved_Leather_Men_Belt___Personalized_Gi.png
"Personalized Leather Portfolio, Letter Size Organizer Folders, Leather Padfolio Men, Leather Portfolio Zipper, A4 Holder, Document Bag",https://www.etsy.com/listing/1008670675/personalized-leather-portfolio-letter,CKRLeather,https://www.etsy.com/shop/CKRLeather,199,180,35820,7560,1262,41 Mo.,6719,30,246910,Home & Living,,64,100,3.06,100780,"Monogrammed Padfolio,Padfolio,leather padfolio,graduation gift,leather organizer,gift for him,Corporate Gift,leather portfolio,notepad holder,office organizer,business portfolio,leather folio,padfolio zipper",Monogrammed Padfolio,Padfolio,leather padfolio,graduation gift,leather organizer,gift for him,Corporate Gift,leather portfolio,notepad holder,office organizer,business portfolio,leather folio,padfolio zipper,../data/images/Personalized_Leather_Portfolio__Letter_Size_Organi.png
"14k Gold Pearl Necklace, Dainty Freshwater Pearl Necklace, Tiny Pearl Necklace, Bridesmaid Gifts,QW32",https://www.etsy.com/listing/1127691360/14k-gold-pearl-necklace-dainty,SilverbySelene,https://www.etsy.com/shop/SilverbySelene,75,477,35775,15772,3440,33 Mo.,44269,104,714783,Jewelry,,49,100,2.21,84496,"mothers day gift,pearl jewelry,choker necklace,dainty necklace,gold necklace,chain necklace,pearl necklace,gold pearl necklace,bridesmaid gifts,pearl chain necklace,tiny necklace,charm necklace,Silver Necklace",mothers day gift,pearl jewelry,choker necklace,dainty necklace,gold necklace,chain necklace,pearl necklace,gold pearl necklace,bridesmaid gifts,pearl chain necklace,tiny necklace,charm necklace,Silver Necklace,../data/images/14k_Gold_Pearl_Necklace__Dainty_Freshwater_Pearl_N.png
